Business,Industrial and manufacturing,Law Enforcement and Armed Forces,Service,Agriculture,Hotel and Tourism,dance occupation,film and television occupation,theatre personnel,writing occupation,    Health care and Medicine, computer/IT occupations, scientific occupations,engineering and Construction
Adverstising specialist,Mechanics,Armed Police Force,Accountant,Animal trainers,Bartender,Ballet dancer,Actor,Producer,Author,Anesthesiologist,Application Analyst,Statistician,Electronic Engineer
Baker,Miller,Traffic Police,Chartered Account,Farmer,Chef,Backup dancer,Animator,Director,Blogger,Cardiovascular Surgeon,Computer Operator,Foreignsic Scientist,IT Engineer
Bank Worker,Mold Maker,Police,Care Taker,Dairy farmer,Cook,Caller,Cartoonist,Playright,Book Coach,Dermatologist,Computer Technician,Biologist,Military Engineer
Body artist,Plumber,Army,Driver,Fruit and Vegetable seller,Waiter,Choreographer,Tweener,Scenic Designer,Commissioning Editor,Neonatologist,Computer Scientist,Botanist,Civil Engineer
Event Manager,Welder,Lawyer,Managing Director,Nursery Worker,Tourist Guide,Dancer,Casting Director,Lighting Designer,Copy Editor,Physician,Data Analyst,Food Technologist,Plumber
Salesman,Blacksmith,Army Officer,Receptionist,Animal Keeper,,Dance Instructure,Cinematographer,Actor,Creative consultant,Nurse,Network Analyst,Microbiologist,Carpenter
Vendor,Carpenter,Auditor,Counseller,,,Exotic Dancer,Executive producer,Stage Manager,Ghost Writer,Endrocrinologist,Programmer,Neuro Scientist,Overseer
Supplier,Saw Filler,Detective,Carpenter,,,Repetiteur,Film Director,Theatrical technician,Novelist,Dentist,Security Engineer,Zoologist,Textile Engineering
Wholesaler,Foreman,Criminal investor,Chief Executive Office,,,Show girl,Film Producer,Wardrobe supervisot,Poet,Geriatrician,Software Engineer,Chemist,Network Engineer
Retailer,Construction Worker,Bodyguard,Civil Servant,,,Dance Journalist,Production Manager,Ticketing Agent,Song Writer,Vetenary Doctor,Web Developer,Pathologist,Bio-medical Engineer
Marketing Manager,Factory Worker,Prison Officer,Cleaner,,,,Screen Writer,Callboy,Speech Writer,,Network Administrator,Physicist,Agricultural Engineer
,,Jailer,Social Activist,,,,Stunt Coordinator,Stage Crew,Website content writer,,Database Manager,Geologist,Electrical Engineer
,,Customs Officer,Delivery driver,,,,Custume Designer,,,,,Economist,Aeronautical Engineer
,,Tax Officer,Dry cleaner,,,,Lighting Technician,,,,,Anthropologist,
,,,Politician,,,,Makeup Artist,,,,,,
,,,Consultant,,,,News Presenter,,,,,,
,,,Fitness trainer,,,,Reporter,,,,,,
,,,Finance broker,,,,News Caster,,,,,,
,,,Fire fighter,,,,Anchor,,,,,,
,,,Casier,,,,Video Editor,,,,,,
,,,,,,,Voice Actor,,,,,,
,,,,,,,Weatherman/women,,,,,,
